date,open,high,low,close,volume,outstanding_share,turnover
2014-05-12,4.150473916167246,4.150473916167246,4.043777928605106,4.086456323629962,10786579.0,9850714660.0,0.0010950047151198268
2014-05-13,4.0971259223861765,4.0971259223861765,4.033108329848892,4.05444752736132,4723935.0,9850714660.0,0.0004795525160404961
2014-05-14,4.05444752736132,4.075786724873748,4.033108329848892,4.065117126117534,3177175.0,9850714660.0,0.0003225324364435504
2014-05-15,4.05444752736132,4.086456323629962,3.990429934824036,4.00109953358025,2781500.0,9850714660.0,0.0002823652999811894
2014-05-16,3.979760336067822,4.00109953358025,3.9370819410429663,3.969090737311608,3061476.0,9850714660.0,0.0003107871972407736
2014-05-19,3.969090737311608,3.969090737311608,3.9050731447743243,3.9370819410429663,2317309.0,9850714660.0,0.00023524272907931332
2014-05-20,3.969090737311608,3.990429934824036,3.9157427435305383,3.9264123422867523,2088500.0,9850714660.0,0.0002120150742443696
2014-05-21,3.9264123422867523,3.969090737311608,3.873064348505682,3.9477515397991803,2556982.0,9850714660.0,0.00025957324805914135
2014-05-22,3.9477515397991803,3.979760336067822,3.9370819410429663,3.9477515397991803,2399990.0,9850714660.0,0.00024363613025412716
2014-05-23,3.9584211385553942,3.979760336067822,3.9370819410429663,3.979760336067822,1988200.0,9850714660.0,0.00020183307187582265
2014-05-26,3.979760336067822,3.990429934824036,3.9584211385553942,3.969090737311608,3221574.0,9850714660.0,0.00032703962211813776
2014-05-27,3.9584211385553942,3.979760336067822,3.9157427435305383,3.9157427435305383,2772364.0,9850714660.0,0.0002814378545809995
2014-05-28,3.9157427435305383,3.9477515397991803,3.873064348505682,3.9370819410429663,3883432.0,9850714660.0,0.00039422845286232256
2014-05-29,3.9264123422867523,3.9370819410429663,3.8837339472618964,3.8837339472618964,3464849.0,9850714660.0,0.00035173579984703365
2014-05-30,3.8837339472618964,3.9050731447743243,3.8623947497494684,3.89440354601811,2399851.0,9850714660.0,0.0002436220196027889
2014-06-03,3.9157427435305383,3.9157427435305383,3.8837339472618964,3.8837339472618964,1616498.0,9850714660.0,0.0001640995659496648
2014-06-04,3.8837339472618964,3.8837339472618964,3.851725150993254,3.873064348505682,2249750.0,9850714660.0,0.00022838444495153004
2014-06-05,3.873064348505682,3.9050731447743243,3.851725150993254,3.9050731447743243,2012819.0,9850714660.0,0.00020433228141033172
2014-06-06,3.9050731447743243,3.9157427435305383,3.8623947497494684,3.89440354601811,2105082.0,9850714660.0,0.0002136984038881906
2014-06-09,3.89440354601811,3.9050731447743243,3.873064348505682,3.8837339472618964,1626353.0,9850714660.0,0.0001651000009780001
2014-06-10,3.8837339472618964,3.9477515397991803,3.873064348505682,3.9477515397991803,4424850.0,9850714660.0,0.00044919075952607075
2014-06-11,3.990429934824036,4.235830706216959,3.979760336067822,4.086456323629962,24548956.0,9850714660.0,0.002492098984420284
2014-06-12,4.05444752736132,4.118465119898604,4.011769132336464,4.043777928605106,7510357.0,9850714660.0,0.0007624174752007282
2014-06-13,4.075786724873748,4.150473916167246,4.065117126117534,4.075786724873748,8133835.0,9850714660.0,0.0008257101419279157
2014-06-16,4.16114351492346,4.235830706216959,4.129134718654818,4.139804317411032,13897297.0,9850714660.0,0.0014107907374915274
2014-06-17,4.118465119898604,4.299848298754243,4.075786724873748,4.182482712435888,17020868.0,9850714660.0,0.00172788153829237
2014-06-18,4.118465119898604,4.16114351492346,4.065117126117534,4.0971259223861765,7181597.0,9850714660.0,0.0007290432468987991
2014-06-19,4.075786724873748,4.129134718654818,3.979760336067822,4.022438731092678,6901276.0,9850714660.0,0.0007005863267995624
2014-06-20,4.00109953358025,4.05444752736132,3.979760336067822,4.043777928605106,3342870.0,9850714660.0,0.0003393530434471036
2014-06-23,4.011769132336464,4.075786724873748,4.011769132336464,4.033108329848892,3405255.0,9850714660.0,0.00034568608649557616
2014-06-24,4.033108329848892,4.05444752736132,3.990429934824036,4.043777928605106,4774420.0,9850714660.0,0.00048467752490964953
2014-06-25,4.033108329848892,4.043777928605106,4.00109953358025,4.033108329848892,3089485.0,9850714660.0,0.0003136305442431727
2014-06-26,4.033108329848892,4.075786724873748,4.022438731092678,4.075786724873748,7049085.0,9850714660.0,0.0007155912279769557
2014-06-27,4.075786724873748,4.086456323629962,4.043777928605106,4.065117126117534,7244565.0,9850714660.0,0.0007354354734705106
